Time [s],Value,Parity Error,Framing Error
2.910119375000000,0xFF,,
2.914120125000000,0xFF,,
2.918120625000000,0xFF,,
2.976138750000000,0xFF,,
2.984141500000000,0xFF,,
2.988143250000000,0xFF,,
3.253702750000000,0x5A,,
3.254226125000000,0x5A,,
3.254749500000000,0x00,,
3.255272875000000,0x00,,
3.255796250000000,0x01,,
3.256319625000000,0x01,,
3.454611500000000,0x5A,,
3.455134875000000,0x5A,,
3.455658250000000,0x00,,
3.456181625000000,0x00,,
3.456705000000000,0x01,,
3.457228375000000,0x01,,
3.655572000000000,0x5A,,
3.656095375000000,0x5A,,
3.656618625000000,0x00,,
3.657142000000000,0x00,,
3.657665375000000,0x01,,
3.658188625000000,0x01,,
3.856467375000000,0x5A,,
3.856990625000000,0x5A,,
3.857513875000000,0x00,,
3.858037125000000,0x00,,
3.858560375000000,0x01,,
3.859083500000000,0x01,,
4.057340500000000,0x5A,,
4.057863750000000,0x5A,,
4.058387000000000,0x00,,
4.058910250000000,0x00,,
4.059433500000000,0x01,,
4.059956625000000,0x01,,
4.258224875000000,0x5A,,
4.258748250000000,0x5A,,
4.259271500000000,0x00,,
4.259794875000000,0x00,,
4.260318125000000,0x01,,
4.260841375000000,0x01,,
4.459118125000000,0x5A,,
4.459641500000000,0x5A,,
4.460164750000000,0x00,,
4.460688000000000,0x00,,
4.461211375000000,0x01,,
4.461734625000000,0x01,,
4.660064750000000,0x5A,,
4.660588000000000,0x5A,,
4.661111375000000,0x00,,
4.661634750000000,0x00,,
4.662158000000000,0x01,,
4.662681375000000,0x01,,
4.860964625000000,0x5A,,
4.861487875000000,0x5A,,
4.862011125000000,0x00,,
4.862534500000000,0x00,,
4.863057750000000,0x01,,
4.863581125000000,0x01,,
5.061858000000000,0x5A,,
5.062381375000000,0x5A,,
5.062904625000000,0x00,,
5.063428000000000,0x00,,
5.063951375000000,0x01,,
5.064474625000000,0x01,,
5.262799125000000,0x5A,,
5.263322375000000,0x5A,,
5.263845500000000,0x00,,
5.264368750000000,0x00,,
5.264892125000000,0x01,,
5.265415375000000,0x01,,
5.463675750000000,0x5A,,
5.464199000000000,0x5A,,
5.464722250000000,0x00,,
5.465245500000000,0x00,,
5.465768750000000,0x01,,
5.466292000000000,0x01,,
5.664555250000000,0x5A,,
5.665078375000000,0x5A,,
5.665601625000000,0x00,,
5.666124875000000,0x00,,
5.666648125000000,0x01,,
5.667171375000000,0x01,,
5.865443000000000,0x5A,,
5.865966250000000,0x5A,,
5.866489625000000,0x00,,
5.867013000000000,0x00,,
5.867536250000000,0x01,,
5.868059625000000,0x01,,
6.068487000000000,0x5A,,
6.069010375000000,0x5A,,
6.069533625000000,0x00,,
6.070057000000000,0x00,,
6.070580375000000,0x01,,
6.071103625000000,0x01,,
6.269379250000000,0x5A,,
6.269902500000000,0x5A,,
6.270425875000000,0x00,,
6.270949125000000,0x00,,
6.271472375000000,0x01,,
6.271995750000000,0x01,,
6.470327500000000,0x5A,,
6.470850750000000,0x5A,,
6.471374125000000,0x00,,
6.471897500000000,0x00,,
6.472420750000000,0x01,,
6.472944125000000,0x01,,
6.671228875000000,0x5A,,
6.671752125000000,0x5A,,
6.672275500000000,0x00,,
6.672798750000000,0x00,,
6.673322000000000,0x01,,
6.673845375000000,0x01,,
6.872120375000000,0x5A,,
6.872643625000000,0x5A,,
6.873167000000000,0x00,,
6.873690375000000,0x00,,
6.874213750000000,0x01,,
6.874737125000000,0x01,,
7.073014500000000,0x5A,,
7.073537750000000,0x5A,,
7.074061000000000,0x00,,
7.074584375000000,0x00,,
7.075107625000000,0x01,,
7.075630875000000,0x01,,
7.273893375000000,0x5A,,
7.274416750000000,0x5A,,
7.274940000000000,0x00,,
7.275463250000000,0x00,,
7.275986500000000,0x01,,
7.276509875000000,0x01,,
7.474828125000000,0x5A,,
7.475351375000000,0x5A,,
7.475874625000000,0x00,,
7.476397875000000,0x00,,
7.476921125000000,0x01,,
7.477444375000000,0x01,,
7.675716875000000,0x5A,,
7.676240125000000,0x5A,,
7.676763375000000,0x00,,
7.677286625000000,0x00,,
7.677809875000000,0x01,,
7.678333125000000,0x01,,
7.876598375000000,0x5A,,
7.877121625000000,0x5A,,
7.877644750000000,0x00,,
7.878168000000000,0x00,,
7.878691125000000,0x01,,
7.879214375000000,0x01,,
8.077519250000000,0x5A,,
8.078042375000001,0x5A,,
8.078565625000000,0x00,,
8.079088750000000,0x00,,
8.079611999999999,0x01,,
8.080135250000000,0x01,,
8.278391125000001,0x5A,,
8.278914374999999,0x5A,,
8.279437625000000,0x00,,
8.279960875000000,0x00,,
8.280484124999999,0x01,,
8.281007375000000,0x01,,
8.479266125000001,0x5A,,
8.479789500000001,0x5A,,
8.480312750000000,0x00,,
8.480836000000000,0x00,,
8.481359250000001,0x01,,
8.481882625000001,0x01,,
8.680139250000000,0x5A,,
8.680662375000001,0x5A,,
8.681185624999999,0x00,,
8.681708875000000,0x00,,
8.682232125000001,0x01,,
8.682755500000001,0x01,,
8.881064625000000,0x5A,,
8.881587874999999,0x5A,,
8.882111125000000,0x00,,
8.882634500000000,0x00,,
8.883157750000001,0x01,,
8.883680999999999,0x01,,
9.081932625000000,0x5A,,
9.082455875000001,0x5A,,
9.082979125000000,0x00,,
9.083502375000000,0x00,,
9.084025499999999,0x01,,
9.084548750000000,0x01,,
9.282797125000000,0x5A,,
9.283320375000001,0x5A,,
9.283843624999999,0x00,,
9.284366875000000,0x00,,
9.284890125000000,0x01,,
9.285413374999999,0x01,,
9.483657375000000,0x5A,,
9.484180625000000,0x5A,,
9.484703874999999,0x00,,
9.485227125000000,0x00,,
9.485750250000001,0x01,,
9.486273499999999,0x01,,
9.684523750000000,0x5A,,
9.685047000000001,0x5A,,
9.685570125000000,0x00,,
9.686093375000000,0x00,,
9.686616624999999,0x01,,
9.687139750000000,0x01,,
9.885443875000000,0x5A,,
9.885967125000001,0x5A,,
9.886490374999999,0x00,,
9.887013500000000,0x00,,
9.887536750000001,0x01,,
9.888059999999999,0x01,,
10.086315500000000,0x5A,,
10.086838750000000,0x5A,,
10.087362000000001,0x00,,
10.087885125000000,0x00,,
10.088408375000000,0x01,,
10.088931625000001,0x01,,
